Name,Generic
flour,ap flour
butter,unsalted butter
onion,yellow onions
milk,2% milk
parmesan,parmesan cheese
elbow macaroni,elbow pasta
grated parmesan cheese,parmesan cheese
red onion,red onions
green onion,green onions
jalapeno,jalapeno peppers
jalapeno pepper,jalapeno peppers
tofu,extra firm tofu
ginger,ginger root
carrot,carrots
white onion,white onions
pearl onion,pearl onions
fl oz,fluid_oz
sharp cheddar,sharp cheddar cheese
tomato,tomatoes
red potato,red potatoes
potato,potatoes
bell pepper,bell peppers
red bell pepper,red bell peppers
green bell pepper,green bell peppers
rice,white rice
avocado,avocados
sweet potato,sweet potatoes
eggplant,eggplants
anchovy fillets,anchovies
anchovy fillets,anchovies
lemon,lemons
penne,penne pasta
rigatoni,rigatoni noodles
mexican cheese,mexican shredded cheese
serrano chile,serrano peppers
oats,rolled oats
packets,units
stalks,units
things,units
cloves,units
cup,cups
unit,units
pound,pounds
stick,sticks
heavy cream,heavy whipping cream
