Name,Generic
anchovy fillets,anchovies
anchovy fillets,anchovies
avocado,avocados
basil,basil
bell pepper,bell peppers
butter,unsalted butter
caper,capers
carrot,carrots
celery,celery
cherry tomatoes,cherry tomatoes
chicken breast,chicken breast
chicken thighs,chicken thighs
corn,corn
cream,heavy whipping cream
eggplant,eggplants
elbow macaroni,elbow pasta
flour,ap flour
garlic,garlic
ginger,ginger root
grated parmesan cheese,parmesan cheese
green bell pepper,green bell peppers
green onion,green onions
grits,grits
heavy cream,heavy whipping cream
heavy cream,heavy whipping cream
iceberg lettuce,iceberg lettuce
jalapeno,jalapeno peppers
lemon,lemons
mayonnaise,mayonnaise
mexican cheese,mexican shredded cheese
milk,2% milk
oats,rolled oats
old bay,old bay seasoning
olive oil,olive oil
onion,yellow onions
parmesan,parmesan cheese
parmigiano,parmesan cheese
pearl onion,pearl onions
penne,penne pasta
pepper,pepper
potato,potatoes
potato chip,potato chips
red bell pepper,red bell peppers
red onion,red onions
red potato,red potatoes
rice,white rice
rigatoni,rigatoni noodles
romaine lettuce,romaine lettuce
salt,salt
serrano chile,serrano peppers
sharp cheddar,sharp cheddar cheese
shrimp,peeled shrimp
sweet potato,sweet potatoes
tofu,extra firm tofu
tomato,tomatoes
unsalted butter,unsalted butter
water,water
white onion,white onions
white wine,white wine
yogurt,greek yogurt
black pepper,pepper
white cheddar cheese,white cheddar cheese
